,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced
121,Illinois-Chicago,27,15,12,.556,3.08,0.56,,10,6,,8,4,,6,7,,2027,1883,,67.7,102.1,.330,.457,.536,47.6,65.3,9.7,10.5,.497,18.0,32.1,.247
122,Incarnate Word,27,10,17,.370,-7.24,-1.58,,5,13,,8,5,,1,11,,2031,2022,,67.2,111.4,.424,.350,.569,48.3,51.5,9.4,8.8,.531,14.1,29.9,.305
123,Indiana,26,17,9,.654,18.53,9.53,,8,7,,13,2,,3,6,,2089,1855,,67.6,104.1,.367,.368,.520,49.4,47.3,8.3,10.9,.471,13.3,29.4,.278
124,Indiana State,27,10,17,.370,-2.87,-0.15,,3,13,,7,6,,3,10,,2028,2023,,69.2,105.8,.281,.340,.528,50.9,43.0,11.2,13.1,.502,13.4,30.7,.193
125,Iona,27,15,12,.556,-7.13,-7.20,,7,9,,9,3,,5,7,,1976,1974,,68.5,105.7,.281,.395,.527,52.5,56.5,9.9,10.4,.497,14.5,32.3,.201
126,Iowa,25,18,7,.720,19.22,7.14,,8,6,,12,2,,3,5,,1924,1622,,63.8,101.7,.381,.382,.549,49.0,49.2,7.6,8.6,.510,18.7,29.7,.277
127,Iowa State,26,23,3,.885,27.31,8.27,,10,3,,15,0,,4,3,,2175,1680,,68.4,94.4,.266,.427,.513,45.4,54.0,10.0,9.1,.485,19.3,28.4,.187
128,IU Indy,28,7,21,.250,-11.99,-3.88,,3,14,,5,7,,2,13,,2352,2466,,76.4,114.8,.472,.364,.610,54.1,54.6,9.6,7.9,.573,18.2,35.1,.348
129,Jackson State,26,9,17,.346,-18.29,-2.98,,8,5,,5,3,,4,12,,1826,2224,,71.6,118.9,.413,.410,.575,55.0,62.2,10.7,12.2,.537,13.0,37.0,.301
130,Jacksonville,27,10,17,.370,-11.82,-4.26,,5,9,,7,3,,2,13,,1941,1970,,66.2,109.2,.420,.357,.564,48.2,50.7,10.5,7.3,.529,14.4,28.1,.295
131,Jacksonville State,25,13,12,.520,-3.22,-2.67,,8,6,,9,6,,4,5,,1816,1672,,67.0,99.8,.365,.434,.509,47.4,49.5,9.6,9.7,.463,14.7,28.0,.269
132,James Madison,27,14,13,.519,-5.34,-4.11,,6,8,,10,3,,3,10,,1996,2014,,66.7,110.8,.404,.386,.536,49.3,48.2,9.4,11.2,.494,11.3,30.5,.289
133,Kansas,25,19,6,.760,23.26,14.14,,9,3,,12,1,,4,4,,1928,1700,,67.8,99.3,.258,.432,.475,48.0,48.0,9.6,8.7,.450,11.6,29.7,.167
134,Kansas City,26,4,22,.154,-17.70,-0.92,,1,11,,3,9,,1,13,,1829,2169,,71.8,115.7,.305,.378,.573,53.3,51.6,11.3,9.5,.548,13.9,34.7,.216
135,Kansas State,25,10,15,.400,9.02,9.50,,1,11,,8,7,,1,7,,2005,2017,,73.5,109.8,.363,.380,.554,51.2,57.2,10.0,10.3,.518,14.8,33.6,.263
136,Kennesaw State,25,14,11,.560,-0.76,-1.94,,6,8,,10,3,,3,6,,2128,1920,,73.4,103.5,.447,.375,.523,45.9,46.5,10.5,12.4,.470,14.3,29.1,.328
137,Kent State,26,19,7,.731,0.01,-1.99,,10,3,,12,2,,5,5,,2235,2080,,73.3,106.6,.359,.426,.544,45.7,54.9,10.2,8.6,.507,14.2,28.4,.260
138,Kentucky,25,17,8,.680,20.69,11.21,,8,4,,13,2,,3,4,,2041,1804,,69.4,103.9,.357,.401,.523,47.4,56.5,9.4,8.4,.480,13.8,29.5,.263
139,La Salle,25,7,18,.280,-3.97,4.40,,3,9,,5,5,,1,10,,1644,1816,,66.0,110.0,.291,.431,.559,49.4,62.9,10.2,12.0,.535,14.9,31.0,.201
140,Lafayette,27,8,19,.296,-13.05,-5.93,,5,9,,5,8,,3,11,,1845,1995,,67.3,109.2,.306,.385,.553,52.2,58.5,8.3,11.4,.524,14.2,29.6,.220
141,Lamar,27,12,15,.444,-3.37,-2.61,,7,11,,7,6,,5,8,,1931,1866,,66.3,103.7,.430,.368,.533,46.5,57.2,11.0,8.3,.497,15.0,28.2,.291
142,Le Moyne,27,14,13,.519,-9.97,-8.47,,9,5,,8,3,,5,9,,1985,1980,,69.6,105.4,.324,.383,.527,50.4,54.3,11.1,9.7,.489,13.8,30.1,.238
143,Lehigh,27,12,15,.444,-10.25,-6.57,,8,6,,8,4,,3,10,,1985,2029,,67.6,106.7,.329,.313,.538,54.0,45.8,11.8,8.7,.500,14.7,32.2,.245
144,Liberty,25,22,3,.880,5.33,-1.44,,14,0,,12,0,,9,1,,1973,1693,,65.0,103.6,.244,.387,.531,52.3,47.2,7.7,9.9,.507,15.3,28.9,.171
145,Lindenwood,27,16,11,.593,-7.76,-6.85,,10,6,,9,4,,6,7,,2133,1967,,74.2,98.2,.347,.335,.507,48.4,47.9,11.5,8.8,.476,16.9,31.3,.231
146,Lipscomb,27,16,11,.593,-2.77,-3.57,,9,5,,12,1,,4,10,,2190,2062,,72.0,105.6,.294,.405,.550,50.6,46.2,9.1,10.2,.521,16.3,29.3,.212
147,Little Rock,27,10,17,.370,-13.58,-7.26,,7,9,,5,4,,5,13,,1904,2019,,68.7,108.8,.311,.411,.560,51.6,54.0,11.1,5.9,.534,17.0,34.9,.217
148,Long Beach State,26,8,18,.308,-5.27,1.15,,4,10,,7,6,,1,12,,1928,2002,,70.6,108.0,.404,.354,.578,51.0,54.2,8.8,6.6,.535,16.6,27.3,.307
149,Long Island University,27,18,9,.667,-4.15,-6.19,,12,2,,9,1,,9,8,,1976,1921,,68.5,103.3,.351,.335,.526,48.3,47.5,10.8,8.8,.495,16.1,32.7,.237
150,Longwood,28,14,14,.500,-8.86,-7.78,,6,7,,10,4,,3,9,,2142,2043,,70.1,102.2,.380,.430,.547,46.5,50.3,11.1,8.8,.512,18.1,28.0,.267
151,Louisiana,27,9,18,.333,-11.63,-5.00,,6,8,,6,7,,3,11,,1699,1878,,63.5,109.6,.460,.370,.565,52.5,50.3,8.1,7.5,.521,15.4,31.2,.334
152,Louisiana State,25,14,11,.560,13.40,8.00,,2,10,,9,5,,2,5,,2018,1883,,68.8,108.4,.362,.384,.533,48.0,47.4,9.0,8.0,.502,12.8,31.6,.245
153,Louisiana Tech,25,14,11,.560,-5.02,-2.93,,7,7,,12,2,,2,9,,1729,1612,,65.2,97.4,.336,.463,.501,46.3,53.6,10.2,9.6,.465,16.0,29.5,.231
154,Louisiana-Monroe,27,4,23,.148,-18.76,-5.00,,1,13,,3,9,,1,13,,1949,2250,,71.4,115.7,.251,.398,.570,55.3,55.9,11.0,12.1,.550,13.7,35.4,.177
155,Louisville,25,19,6,.760,25.95,9.99,,8,4,,13,2,,3,4,,2172,1773,,71.7,98.9,.336,.405,.507,45.8,48.1,9.0,11.4,.468,14.9,27.2,.240
156,Loyola (IL),26,6,20,.231,-8.34,2.31,,2,11,,4,10,,1,6,,1748,2025,,66.3,117.4,.329,.439,.573,49.7,61.5,11.1,13.5,.533,11.2,30.9,.259
157,Loyola (MD),27,11,16,.407,-12.69,-8.45,,7,7,,8,4,,2,11,,2028,2048,,68.7,108.8,.312,.390,.556,49.5,56.2,9.5,7.7,.528,13.9,28.1,.221
158,Loyola Marymount,28,13,15,.464,1.64,2.27,,4,11,,9,7,,3,7,,2104,2038,,69.3,103.6,.325,.364,.523,51.2,50.8,9.1,6.2,.481,14.6,31.4,.245
159,Maine,27,6,21,.222,-16.53,-8.03,,4,8,,4,7,,2,12,,1689,1872,,65.6,105.7,.344,.360,.537,57.0,53.3,9.9,8.8,.504,16.7,35.1,.241
160,Manhattan,28,12,16,.429,-14.62,-7.81,,8,9,,7,5,,3,11,,2109,2227,,68.5,114.6,.252,.381,.561,53.3,61.4,8.1,10.4,.536,13.8,35.9,.185
161,Marist,26,16,10,.615,-2.73,-8.29,,10,7,,10,3,,6,7,,1821,1650,,66.5,94.9,.366,.370,.495,48.5,44.8,9.7,7.9,.453,16.8,27.2,.256
162,Marquette,26,9,17,.346,7.34,9.07,,4,11,,9,5,,0,10,,1975,2020,,70.4,108.8,.320,.388,.554,52.5,59.8,9.9,10.0,.517,16.1,34.3,.242
163,Marshall,27,17,10,.630,-1.29,-3.75,,9,5,,12,3,,5,7,,2170,2056,,70.6,107.9,.394,.401,.535,49.0,48.8,10.4,7.2,.494,14.5,32.5,.282
164,Maryland,25,10,15,.400,3.48,10.28,,3,11,,6,6,,2,7,,1785,1955,,67.9,114.6,.354,.429,.580,49.9,61.3,8.9,12.1,.551,14.0,31.2,.254
165,Maryland-Baltimore County,24,16,8,.667,-7.57,-11.21,,9,2,,9,2,,7,6,,1804,1653,,67.4,101.1,.257,.353,.514,49.3,42.9,8.3,7.3,.490,13.4,25.4,.174
166,Maryland-Eastern Shore,27,8,19,.296,-16.59,-5.87,,4,6,,5,2,,2,17,,1721,1920,,65.0,107.8,.394,.400,.547,50.3,56.1,13.5,8.5,.504,14.9,32.6,.289
167,Massachusetts,26,15,11,.577,-1.24,-3.72,,6,7,,10,3,,2,6,,2106,1993,,71.8,104.7,.447,.427,.560,46.4,57.6,10.2,7.8,.518,16.0,25.5,.322
168,Massachusetts-Lowell,26,11,15,.423,-14.52,-6.95,,6,5,,7,3,,4,12,,1960,2010,,70.1,110.2,.277,.371,.552,46.5,48.0,12.3,10.1,.523,12.8,28.4,.203
169,McNeese State,27,22,5,.815,8.39,-1.49,,15,3,,12,0,,7,5,,2195,1804,,67.8,98.6,.404,.475,.530,48.5,58.3,6.8,6.5,.485,20.9,34.7,.293
170,Memphis,25,12,13,.480,7.28,6.28,,7,5,,10,3,,2,8,,1870,1845,,71.2,103.1,.423,.446,.527,49.5,56.5,11.6,11.0,.480,16.8,34.8,.303
171,Mercer,27,17,10,.630,-1.56,-4.52,,9,5,,12,0,,5,10,,2238,2005,,71.6,103.7,.274,.427,.527,48.2,48.0,8.6,9.3,.496,15.8,31.4,.200
172,Mercyhurst,27,13,14,.481,-9.83,-8.87,,8,6,,9,2,,4,12,,1838,1782,,64.5,101.5,.403,.352,.530,51.6,53.7,8.0,6.0,.492,17.3,30.3,.279
173,Merrimack,27,18,9,.667,-3.62,-5.32,,14,2,,9,0,,8,7,,1846,1800,,64.5,103.3,.386,.314,.506,57.4,55.1,7.8,12.1,.460,16.2,40.9,.276
174,Miami (FL),25,20,5,.800,17.68,4.20,,9,3,,13,2,,6,1,,2089,1752,,70.4,99.6,.304,.402,.528,43.6,53.2,9.8,9.7,.501,16.4,25.7,.206
175,Miami (OH),25,25,0,1.000,6.92,-5.81,,12,0,,14,0,,10,0,,2315,1857,,72.4,101.1,.298,.388,.526,47.5,47.7,9.0,7.1,.490,16.0,27.4,.221
176,Michigan,25,24,1,.960,34.81,12.53,,14,1,,12,1,,8,0,,2265,1708,,73.2,92.9,.270,.419,.471,43.3,43.1,8.7,8.9,.432,14.5,28.1,.199
177,Michigan State,25,20,5,.800,23.46,11.34,,10,4,,12,2,,4,3,,1970,1667,,67.1,98.4,.312,.466,.510,41.0,57.1,9.9,7.9,.470,13.7,22.5,.233
178,Middle Tennessee,25,12,13,.480,0.58,3.08,,6,8,,8,4,,3,7,,1886,1823,,67.4,105.6,.360,.355,.537,48.6,47.0,9.3,7.5,.498,14.1,27.8,.264
179,Milwaukee,28,11,17,.393,-6.90,-1.76,,7,10,,7,6,,3,11,,2143,2227,,69.7,114.0,.367,.406,.582,48.8,56.7,8.1,8.8,.550,14.2,28.9,.268
180,Minnesota,25,11,14,.440,9.63,7.59,,4,10,,10,4,,1,7,,1774,1723,,63.9,106.3,.305,.413,.541,50.4,56.6,9.1,12.7,.510,15.0,29.8,.219
181,Mississippi,25,11,14,.440,9.43,9.07,,3,9,,7,5,,2,6,,1851,1842,,67.5,108.6,.415,.434,.542,51.3,57.4,8.8,8.3,.503,14.3,32.1,.292
182,Mississippi State,25,12,13,.480,9.11,10.11,,4,8,,7,6,,4,3,,1934,1959,,71.1,108.6,.315,.382,.527,48.9,50.6,9.3,11.7,.488,11.1,29.3,.234
183,Mississippi Valley State,26,1,25,.038,-29.21,-5.61,,0,12,,1,8,,0,15,,1661,2215,,70.3,120.1,.477,.447,.607,55.4,62.2,12.5,8.7,.563,14.8,35.6,.364
184,Missouri,25,17,8,.680,11.91,6.19,,7,5,,13,2,,4,5,,2001,1858,,68.6,107.8,.356,.452,.545,46.5,52.2,8.9,8.4,.502,14.1,30.6,.270
185,Missouri State,25,13,12,.520,-3.01,-1.47,,7,7,,10,5,,3,7,,1878,1824,,67.3,106.3,.371,.354,.545,48.9,51.2,9.8,12.7,.508,15.4,31.1,.265
186,Monmouth,26,14,12,.538,-3.08,-3.40,,8,5,,8,4,,5,7,,1887,1851,,67.7,103.6,.313,.391,.533,50.2,49.2,8.7,9.6,.500,17.2,32.6,.224
187,Montana,26,14,12,.538,-0.42,0.30,,8,5,,9,6,,5,6,,2038,1906,,71.0,103.2,.316,.384,.521,48.3,51.0,11.0,8.8,.492,13.3,26.7,.216
188,Montana State,26,15,11,.577,1.61,0.01,,9,4,,9,2,,5,9,,2022,1839,,67.7,104.0,.282,.344,.539,49.5,44.2,7.7,6.9,.502,15.0,27.6,.218
189,Morehead State,27,15,12,.556,-10.95,-6.03,,11,5,,10,2,,4,10,,2057,2050,,68.0,110.6,.353,.402,.541,48.4,57.3,10.2,8.3,.507,13.9,34.8,.248
190,Morgan State,24,10,14,.417,-19.56,-8.79,,6,3,,6,5,,4,9,,1797,1887,,71.3,110.3,.529,.344,.567,50.8,57.7,9.6,9.0,.527,15.2,32.1,.365
191,Mount St. Mary's,27,12,15,.444,-11.70,-6.32,,8,8,,6,5,,6,10,,1838,1947,,68.1,105.3,.365,.447,.525,47.7,52.8,13.0,8.7,.480,13.4,29.1,.273
192,Murray State,28,19,9,.679,5.30,0.48,,11,6,,11,3,,5,4,,2361,2226,,72.5,109.7,.325,.265,.546,48.4,42.5,9.7,7.9,.514,13.6,31.3,.235
193,Navy,27,21,6,.778,-1.72,-9.40,,13,1,,12,1,,8,4,,2003,1731,,65.9,96.4,.263,.455,.506,45.4,51.4,9.7,7.8,.473,16.3,25.4,.194
194,NC State,26,18,8,.692,20.05,9.47,,9,4,,10,4,,6,2,,2209,1934,,70.4,104.7,.370,.450,.546,50.0,48.5,7.5,8.3,.517,16.5,29.0,.252
195,Nebraska,25,22,3,.880,22.96,9.56,,11,3,,13,2,,6,1,,1984,1649,,68.1,96.3,.246,.494,.500,49.6,59.9,7.1,9.4,.472,16.6,27.5,.173
196,Nevada,25,17,8,.680,11.77,6.77,,9,5,,12,2,,4,5,,1904,1779,,66.0,106.3,.386,.434,.547,48.4,56.1,7.7,10.2,.505,15.0,28.3,.284
197,Nevada-Las Vegas,25,13,12,.520,4.10,5.39,,8,6,,8,5,,5,4,,1980,1969,,71.3,109.4,.469,.372,.566,49.3,56.9,9.4,7.6,.520,16.1,31.2,.343
198,New Hampshire,24,8,16,.333,-14.51,-4.87,,4,7,,7,4,,1,12,,1681,1783,,68.3,106.5,.374,.362,.549,51.0,48.6,9.0,11.5,.509,14.4,27.1,.276
199,New Haven,26,11,15,.423,-13.88,-5.83,,6,7,,7,5,,4,10,,1670,1730,,64.2,103.6,.275,.376,.543,51.1,48.6,9.4,7.4,.512,15.9,26.9,.205
200,New Mexico,25,19,6,.760,14.75,5.08,,10,4,,12,2,,6,3,,2020,1738,,70.9,98.1,.328,.483,.521,48.9,51.0,8.7,9.3,.480,17.4,27.8,.244
201,New Mexico State,25,12,13,.480,0.04,-0.87,,5,10,,7,5,,3,6,,1896,1778,,68.2,103.8,.433,.427,.524,47.9,49.0,8.8,9.4,.473,14.3,29.5,.319
202,New Orleans,27,12,15,.444,-3.81,0.16,,10,8,,5,4,,7,11,,2030,2137,,70.1,111.9,.403,.406,.538,48.9,61.1,11.2,10.5,.494,12.5,34.6,.295
203,Niagara,26,7,19,.269,-16.36,-7.52,,4,12,,5,6,,2,12,,1647,1845,,63.0,112.7,.335,.414,.568,53.7,52.5,10.3,9.2,.528,14.5,32.2,.261
204,Nicholls State,27,11,16,.407,-7.07,-1.57,,10,8,,5,5,,6,11,,1995,2070,,69.6,110.2,.386,.368,.590,54.7,55.0,8.6,9.6,.548,18.6,34.0,.300
205,NJIT,27,15,12,.556,-13.35,-7.47,,10,2,,7,3,,8,9,,1867,1985,,69.2,106.2,.383,.409,.528,52.1,52.1,9.0,7.8,.491,14.0,31.6,.266
206,Norfolk State,27,13,14,.481,-12.28,-8.37,,6,4,,8,3,,4,9,,2038,1960,,69.9,103.9,.421,.429,.546,48.4,58.3,10.5,9.5,.506,17.0,30.0,.300
207,North Alabama,25,8,17,.320,-15.32,-5.01,,3,11,,4,7,,4,10,,1759,1958,,66.3,116.9,.300,.446,.579,50.8,57.1,11.1,9.0,.548,12.8,31.9,.227
208,North Carolina,25,20,5,.800,20.19,8.83,,8,4,,15,0,,3,4,,2045,1761,,69.3,101.6,.242,.364,.499,46.8,50.1,7.9,8.1,.472,12.1,28.0,.169
209,North Carolina A&T,24,10,14,.417,-8.78,-5.33,,3,10,,6,4,,3,9,,1792,1822,,69.8,108.2,.384,.369,.545,46.8,57.4,9.4,8.2,.513,13.0,26.8,.263
210,North Carolina Central,24,10,14,.417,-16.69,-5.09,,6,3,,8,4,,2,10,,1740,1818,,69.4,109.1,.395,.424,.562,53.6,56.1,9.4,11.1,.529,18.3,37.3,.278
211,North Dakota,29,15,14,.517,-9.16,-3.16,,9,4,,8,7,,7,6,,2237,2245,,69.8,110.0,.440,.426,.591,51.7,59.3,7.4,8.8,.560,18.5,30.8,.309
212,North Dakota State,27,21,6,.778,1.86,-4.76,,11,1,,11,1,,9,4,,2198,1917,,68.5,101.8,.278,.415,.553,47.0,51.6,9.4,7.8,.522,18.3,27.1,.208
213,North Florida,27,6,21,.222,-15.53,-1.89,,4,10,,4,6,,2,13,,2178,2420,,72.7,122.6,.308,.394,.586,54.6,51.4,10.9,12.2,.564,11.5,37.0,.216
214,North Texas,26,15,11,.577,2.01,0.80,,6,7,,10,4,,4,6,,1836,1720,,66.9,97.5,.442,.375,.522,50.2,48.8,10.1,11.0,.474,20.0,33.7,.314
215,Northeastern,24,6,18,.250,-8.25,-2.00,,2,11,,2,7,,3,11,,1803,1953,,69.8,116.0,.398,.356,.599,53.5,51.3,9.1,9.9,.565,15.5,32.5,.293
216,Northern Arizona,27,10,17,.370,-9.48,-0.94,,4,10,,9,6,,1,10,,1960,2052,,67.1,113.2,.319,.401,.581,53.5,50.4,8.5,7.9,.549,15.6,31.7,.238
217,Northern Colorado,27,17,10,.630,0.61,-1.81,,7,7,,9,3,,7,6,,2240,2071,,70.1,107.4,.366,.351,.543,46.0,36.5,8.5,6.6,.499,11.8,23.5,.277
218,Northern Illinois,24,8,16,.333,-12.93,-2.30,,3,9,,6,4,,2,12,,1705,1836,,70.3,108.9,.379,.384,.572,48.3,51.2,11.5,14.4,.538,15.7,29.3,.273
219,Northern Iowa,27,17,10,.630,7.55,1.82,,9,7,,12,3,,4,6,,1866,1652,,64.0,94.7,.297,.413,.498,50.7,49.1,9.0,8.4,.462,16.0,24.6,.212
220,Northern Kentucky,27,16,11,.593,-2.86,-4.57,,8,8,,11,4,,5,7,,2239,2074,,71.7,106.1,.346,.389,.554,50.1,51.6,9.3,7.3,.525,17.1,32.6,.240
221,Northwestern,26,10,16,.385,11.85,10.85,,2,13,,7,6,,2,7,,1924,1898,,66.7,109.0,.358,.399,.538,53.2,61.2,7.6,7.0,.499,14.1,34.5,.261
222,Northwestern State,27,8,19,.296,-9.00,-1.40,,6,12,,6,6,,2,13,,1892,2009,,66.5,111.4,.377,.379,.565,52.8,52.4,10.3,9.8,.534,14.9,33.0,.265
223,Notre Dame,26,12,14,.462,10.18,8.95,,3,10,,9,5,,2,7,,1941,1909,,66.6,108.7,.335,.470,.549,47.0,55.4,8.6,8.7,.512,12.7,26.1,.250
224,Oakland,27,14,13,.519,-0.53,1.36,,10,6,,6,3,,7,9,,2234,2217,,71.8,114.4,.232,.417,.564,51.3,65.1,7.6,11.8,.541,13.5,34.5,.169
225,Ohio,26,13,13,.500,-3.81,-0.39,,7,6,,9,4,,3,7,,2017,2023,,70.8,109.3,.367,.346,.557,51.5,49.1,8.5,8.1,.520,15.2,32.3,.268
226,Ohio State,25,16,9,.640,17.23,9.83,,8,6,,11,3,,4,4,,2024,1839,,67.5,107.3,.344,.407,.534,48.3,51.3,8.1,9.4,.494,13.8,31.4,.254
227,Oklahoma,25,13,12,.520,12.79,7.07,,3,9,,9,4,,2,6,,2086,1943,,69.4,111.5,.336,.393,.554,48.8,49.9,8.1,9.9,.517,13.2,31.8,.251
228,Oklahoma State,25,16,9,.640,12.12,8.72,,4,8,,13,3,,1,5,,2118,2033,,75.1,107.7,.333,.432,.550,49.5,57.1,9.2,10.4,.518,14.7,30.3,.237
229,Old Dominion,28,10,18,.357,-6.31,-2.87,,6,9,,7,6,,3,12,,2093,2146,,69.9,108.7,.406,.359,.539,51.6,53.0,8.9,10.7,.493,12.5,29.8,.300
230,Omaha,28,14,14,.500,-6.09,-2.92,,7,6,,9,4,,5,8,,2176,2158,,68.9,111.3,.313,.466,.557,49.3,53.1,9.2,10.1,.523,12.7,28.5,.233
231,Oral Roberts,27,6,21,.222,-12.33,-0.25,,1,11,,5,8,,0,12,,1937,2128,,69.7,112.0,.389,.359,.562,51.6,44.2,11.3,10.5,.527,13.6,31.7,.278
232,Oregon,25,9,16,.360,9.37,12.01,,2,12,,8,6,,1,6,,1806,1872,,66.7,111.7,.338,.403,.560,49.0,51.4,10.2,9.0,.518,13.6,31.4,.263
233,Oregon State,28,14,14,.500,0.28,3.53,,7,8,,10,5,,4,6,,1966,2057,,66.1,109.7,.361,.404,.540,52.5,54.0,10.3,10.0,.499,13.2,32.6,.267
234,Pacific,28,17,11,.607,5.09,1.66,,8,7,,11,2,,4,9,,2077,1907,,66.4,102.1,.363,.419,.525,43.1,48.7,10.0,9.8,.485,14.1,24.0,.259
235,Penn State,26,11,15,.423,5.30,8.88,,2,13,,8,6,,2,7,,1961,2054,,67.9,116.4,.271,.437,.605,53.1,59.4,8.1,10.6,.580,16.0,31.8,.208
236,Pennsylvania,23,13,10,.565,-1.69,-1.64,,6,4,,10,2,,3,7,,1761,1715,,69.9,106.7,.284,.390,.541,49.5,52.7,8.6,9.4,.519,14.8,30.4,.191
237,Pepperdine,27,7,20,.259,-6.36,4.44,,2,12,,6,9,,1,10,,1908,2133,,69.2,113.2,.280,.414,.567,51.9,53.7,11.1,10.5,.540,14.2,33.2,.206
238,Pittsburgh,26,9,17,.346,7.72,9.57,,2,11,,7,9,,1,7,,1818,1866,,64.9,110.0,.330,.402,.568,48.2,53.6,9.4,8.4,.531,14.5,28.0,.252
239,Portland,27,12,15,.444,-1.26,4.47,,5,9,,11,5,,1,10,,2033,2122,,70.9,109.8,.334,.465,.563,49.8,65.5,10.3,6.7,.527,15.3,31.1,.252
240,Portland State,24,17,7,.708,1.04,-2.34,,11,2,,9,2,,8,5,,1866,1674,,69.3,99.6,.445,.394,.523,46.4,53.7,9.5,6.9,.467,15.9,26.4,.333
241,Prairie View,26,10,16,.385,-14.77,-6.86,,5,8,,8,3,,1,12,,2098,2086,,76.3,105.1,.433,.361,.559,54.5,49.1,8.6,7.7,.518,18.8,34.6,.312
242,Presbyterian,27,13,14,.481,-9.28,-5.44,,6,6,,9,3,,3,11,,1937,1930,,66.4,106.7,.356,.361,.541,46.5,50.1,9.9,8.0,.507,13.9,28.7,.250
